-4.9999e-05,1,1,1,1,1,1,0,0,0
-4.9997e-05,1,1,1,1,1,1,0,0,0
-4.9995e-05,1,1,1,1,1,1,0,0,0
-4.9993e-05,1,1,1,1,1,1,0,0,0
-4.9991e-05,1,1,1,1,1,1,0,0,0
-4.9989e-05,1,1,1,1,1,1,0,0,0
-4.9987e-05,0,1,1,1,1,1,0,0,0
-4.9985e-05,0,1,1,1,1,0,1,1,0
-4.9983e-05,0,1,1,1,1,0,1,1,0
-4.9981e-05,0,1,1,1,1,0,1,1,0
-4.9979e-05,0,1,1,1,1,0,1,1,0
-4.9977e-05,0,1,1,1,1,0,1,1,0
-4.9975e-05,0,1,1,1,1,0,1,1,0
-4.9973e-05,0,1,1,1,1,0,1,1,0
-4.9971e-05,1,1,1,1,1,0,1,1,0
-4.9969e-05,1,1,1,1,1,0,1,1,0
-4.9967e-05,1,1,1,1,1,0,1,1,0
-4.9965e-05,1,1,1,1,1,0,1,1,0
-4.9963e-05,1,1,1,1,1,0,1,1,0
-4.9961e-05,1,1,1,1,1,0,1,1,0
-4.9959e-05,1,1,1,1,1,0,1,1,0
-4.9957e-05,1,1,1,1,1,0,1,1,0
-4.9955e-05,1,1,1,1,1,0,1,1,0
-4.9953e-05,1,1,1,1,1,0,1,1,0
-4.9951e-05,0,1,1,1,1,0,1,1,0
-4.9949e-05,0,1,1,1,1,0,0,1,0
-4.9947e-05,0,1,1,1,1,0,0,1,0
-4.9945e-05,0,1,1,1,1,0,0,1,0
-4.9943e-05,0,1,1,1,1,0,0,1,0
-4.9941e-05,1,1,1,1,1,0,0,1,0
-4.9939e-05,1,1,1,1,1,0,0,1,0
-4.9937e-05,1,1,1,1,1,0,0,1,0
-4.9935e-05,1,1,1,1,1,0,0,1,0
-4.9933e-05,1,1,1,1,1,0,0,1,0
-4.9931e-05,1,1,1,1,1,0,0,1,0
-4.9929e-05,1,1,1,1,1,0,0,1,0
-4.9927e-05,1,1,1,1,1,0,0,1,0
